,Model Name,Noise level,Accuracy,STD,Set,b
335,AdaBoostClassifier,0.47,0.5048,0.02830123672209399,Test,1.5
336,NeighborHoodClassifier,0.47,0.8624,0.17839013425635397,Train,2.0
337,NeighborHoodClassifier,0.47,0.4868,0.03034732278142506,Test,2.0
338,AdaBoostClassifier,0.47,0.5984,0.03627450895601483,Train,2.0
339,AdaBoostClassifier,0.47,0.5,0.032372828112477305,Test,2.0
340,NeighborHoodClassifier,0.47,0.954,0.05818590894709818,Train,2.5
341,NeighborHoodClassifier,0.47,0.49000000000000005,0.027480902459708276,Test,2.5
342,AdaBoostClassifier,0.47,0.6192,0.03585749572962399,Train,2.5
343,AdaBoostClassifier,0.47,0.5035999999999999,0.03580837890773608,Test,2.5
344,NeighborHoodClassifier,0.47,0.8016,0.17731959846559547,Train,3.0
